/home/luis/PycharmProjects/chameleon_cluster/venv/bin/python /home/luis/PycharmProjects/chameleon_cluster/main.py
Building kNN graph (k = 6)...
100%|██████████| 32/32 [00:00<00:00, 1877.38it/s]
Begin clustering...
%fs 1.4720000326633453e-06
%fs 1.567999948747456e-06
%fs 5.4496001452207564e-05
%fs 1.5040000434964896e-06
%fs 1.5360000543296336e-06
%fs 7.695999741554261e-05
%fs 5.3920000791549686e-05
%fs 5.193600058555603e-05
%fs 1.5360000543296336e-06
%fs 1.5360000543296336e-06
%fs 5.584000051021576e-05
%fs 1.4720000326633453e-06
%fs 1.5999999595806003e-06
%fs 5.3279999643564224e-05
%fs 5.2799999713897704e-05
%fs 6.134400144219398e-05
%fs 5.452800169587135e-05
%fs 1.5360000543296336e-06
%fs 1.5040000434964896e-06
%fs 6.508799642324447e-05
%fs 1.440000021830201e-06
%fs 1.5360000543296336e-06
%fs 5.3759999573230744e-05
%fs 5.849599838256836e-05
%fs 6.524799764156342e-05
%fs 1.440000021830201e-06
%fs 1.5040000434964896e-06
%fs 6.150399893522262e-05
%fs 3.5200000274926424e-06
%fs 1.5360000543296336e-06
%fs 1.4720000326633453e-06
%fs 5.1584001630544664e-05
%fs 5.3472001105546954e-05
%fs 5.2032001316547395e-05
%fs 6.032000109553337e-05
%fs 5.481600016355515e-05
%fs 1.440000021830201e-06
%fs 3.008000086992979e-06
%fs 1.4720000326633453e-06
%fs 1.8240000354126097e-06
%fs 1.5360000543296336e-06
%fs 5.481600016355515e-05
%fs 5.5872000753879547e-05
%fs 5.1295999437570575e-05
%fs 5.152000114321709e-05
%fs 1.5360000543296336e-06
%fs 1.5040000434964896e-06
%fs 5.433600023388863e-05
%fs 1.8560000462457537e-06
%fs 1.5360000543296336e-06
%fs 5.41439987719059e-05
%fs 5.932800099253654e-05
%fs 5.7824000716209414e-05
%fs 1.5360000543296336e-06
%fs 1.440000021830201e-06
%fs 5.939200147986412e-05
%fs 1.5360000543296336e-06
%fs 1.5360000543296336e-06
%fs 5.4464001208543776e-05
%fs 5.9967998415231706e-05
%fs 5.596800148487091e-05
%fs 1.5040000434964896e-06
%fs 1.567999948747456e-06
%fs 5.750399827957154e-05
%fs 1.567999948747456e-06
%fs 1.5999999595806003e-06
%fs 5.292800068855286e-05
%fs 5.4207999259233475e-05
%fs 5.6832000613212586e-05
%fs 5.4880000650882725e-05
%fs 3.488000016659498e-06
%fs 1.5360000543296336e-06
%fs 5.699200183153153e-05
%fs 1.5040000434964896e-06
%fs 1.440000021830201e-06
%fs 5.340800061821938e-05
%fs 5.5167999118566515e-05
%fs 5.3759999573230744e-05
%fs 2.4000001139938832e-06
%fs 2.3040000814944505e-06
%fs 5.942400172352791e-05
 21%|██        | 7/33 [00:00<00:00, 29.66it/s]%fs 1.4720000326633453e-06
%fs 1.440000021830201e-06
%fs 3.0720001086592673e-06
%fs 8.832000195980072e-06
%fs 5.142400041222572e-05
%fs 1.567999948747456e-06
%fs 1.440000021830201e-06
%fs 5.571199953556061e-05
%fs 1.5040000434964896e-06
%fs 1.5360000543296336e-06
%fs 5.7631999254226684e-05
%fs 7.708799839019776e-05
%fs 5.3920000791549686e-05
%fs 1.4720000326633453e-06
%fs 1.5040000434964896e-06
%fs 5.689600110054016e-05
%fs 1.5040000434964896e-06
%fs 1.5360000543296336e-06
%fs 5.4944001138210295e-05
%fs 5.452800169587135e-05
%fs 5.286400020122528e-05
%fs 1.440000021830201e-06
